Generation,Fitness Total,Mean,Best
0,50.69,50.69,66.67
1,57.00,57.00,70.37
2,61.02,61.02,72.22
3,64.09,64.09,75.93
4,66.61,66.61,77.78
5,69.48,69.48,77.78
6,71.63,71.63,79.63
7,74.54,74.54,81.48
8,75.83,75.83,85.19
9,77.69,77.69,88.89
10,79.07,79.07,90.74
11,80.07,80.07,88.89
12,80.52,80.52,88.89
13,80.65,80.65,90.74
14,81.11,81.11,88.89
15,81.96,81.96,92.59
16,83.76,83.76,92.59
17,83.24,83.24,94.44
18,84.30,84.30,96.30
19,85.57,85.57,94.44
20,86.31,86.31,94.44
21,86.81,86.81,96.30
22,87.39,87.39,96.30
23,87.41,87.41,96.30
24,87.78,87.78,94.44
25,87.83,87.83,94.44
26,87.98,87.98,94.44
27,88.24,88.24,94.44
28,88.04,88.04,96.30
29,89.02,89.02,96.30
30,88.67,88.67,96.30
31,89.24,89.24,94.44
32,88.91,88.91,96.30
33,88.33,88.33,96.30
34,88.28,88.28,96.30
35,88.22,88.22,96.30
36,88.43,88.43,94.44
37,88.85,88.85,94.44
38,87.72,87.72,94.44
39,87.96,87.96,96.30
40,88.26,88.26,94.44
41,88.65,88.65,96.30
42,88.67,88.67,94.44
43,87.83,87.83,96.30
44,88.20,88.20,96.30
45,87.56,87.56,94.44
46,87.15,87.15,100.00
47,87.22,87.22,94.44
48,87.57,87.57,94.44
49,87.59,87.59,96.30
50,87.80,87.80,94.44
51,87.41,87.41,96.30
52,87.37,87.37,94.44
53,87.46,87.46,94.44
54,87.74,87.74,94.44
55,87.89,87.89,96.30
56,88.26,88.26,94.44
57,88.31,88.31,96.30
58,88.85,88.85,96.30
59,88.69,88.69,94.44
60,88.61,88.61,96.30
61,89.46,89.46,96.30
62,89.20,89.20,96.30
63,88.65,88.65,94.44
64,88.81,88.81,96.30
65,88.96,88.96,96.30
66,89.15,89.15,96.30
67,88.91,88.91,96.30
68,88.72,88.72,96.30
69,88.74,88.74,98.15
70,89.20,89.20,96.30
71,89.17,89.17,96.30
72,89.76,89.76,96.30
73,89.39,89.39,96.30
74,89.11,89.11,96.30
75,89.04,89.04,96.30
76,88.78,88.78,94.44
77,88.76,88.76,96.30
78,88.63,88.63,94.44
79,88.72,88.72,94.44
80,88.31,88.31,96.30
81,87.98,87.98,96.30
82,88.17,88.17,96.30
83,88.52,88.52,94.44
84,88.17,88.17,96.30
85,88.17,88.17,96.30
86,87.98,87.98,94.44
87,88.04,88.04,94.44
88,88.80,88.80,96.30
89,88.30,88.30,96.30
90,88.93,88.93,94.44
91,88.22,88.22,94.44
92,87.54,87.54,94.44
93,88.19,88.19,96.30
94,88.20,88.20,98.15
95,89.28,89.28,96.30
96,88.61,88.61,94.44
97,88.56,88.56,94.44
98,88.02,88.02,96.30
99,88.61,88.61,98.15
